"date","Number of Incidents"
"Mar 25,  2021","98"
"Mar 26,  2021","135"
"Mar 27,  2021","104"
"Mar 28,  2021","80"
"Mar 29,  2021","159"
"Mar 30,  2021","94"
"Mar 31,  2021","117"
"Apr 1,  2021","167"
"Apr 2,  2021","109"
"Apr 3,  2021","91"
"Apr 4,  2021","85"
"Apr 5,  2021","125"
"Apr 6,  2021","96"
"Apr 7,  2021","94"
"Apr 8,  2021","97"
"Apr 9,  2021","122"
"Apr 10,  2021","105"
"Apr 11,  2021","98"
"Apr 12,  2021","125"
"Apr 13,  2021","88"
"Apr 14,  2021","80"
"Apr 15,  2021","95"
"Apr 16,  2021","98"
"Apr 17,  2021","110"
"Apr 18,  2021","80"
"Apr 19,  2021","94"
"Apr 20,  2021","65"
"Apr 21,  2021","80"
"Apr 22,  2021","64"
"Apr 23,  2021","85"
"Apr 24,  2021","58"
"Apr 25,  2021","76"
"Apr 26,  2021","63"
"Apr 27,  2021","72"
"Apr 28,  2021","73"
"Apr 29,  2021","64"
"Apr 30,  2021","86"
"May 1,  2021","174"
"May 2,  2021","69"
"May 3,  2021","106"
"May 4,  2021","80"
"May 5,  2021","79"
"May 6,  2021","94"
"May 7,  2021","110"
"May 8,  2021","98"
"May 9,  2021","89"
"May 10,  2021","109"
"May 11,  2021","83"
"May 12,  2021","86"
"May 13,  2021","89"
"May 14,  2021","100"
"May 15,  2021","80"
"May 16,  2021","87"
"May 17,  2021","120"
"May 18,  2021","88"
"May 19,  2021","99"
"May 20,  2021","113"
"May 21,  2021","102"
"May 22,  2021","92"
"May 23,  2021","110"
"May 24,  2021","95"
"May 25,  2021","102"
"May 26,  2021","97"
"May 27,  2021","111"
"May 28,  2021","97"
"May 29,  2021","94"
"May 30,  2021","80"
"May 31,  2021","95"
"Jun 1,  2021","148"
"Jun 2,  2021","97"
"Jun 3,  2021","80"
"Jun 4,  2021","101"
"Jun 5,  2021","109"
"Jun 6,  2021","99"
"Jun 7,  2021","97"
"Jun 8,  2021","99"
"Jun 9,  2021","78"
"Jun 10,  2021","106"
"Jun 11,  2021","92"
"Jun 12,  2021","90"
"Jun 13,  2021","125"
"Jun 14,  2021","96"
"Jun 15,  2021","110"
"Jun 16,  2021","104"
"Jun 17,  2021","90"
"Jun 18,  2021","99"
"Jun 19,  2021","92"
"Jun 20,  2021","94"
"Jun 21,  2021","77"
"Jun 22,  2021","108"
"Jun 23,  2021","65"
"Jun 24,  2021","86"
"Jun 25,  2021","93"
"Jun 26,  2021","86"
"Jun 27,  2021","96"
"Jun 28,  2021","90"
"Jun 29,  2021","116"
"Jun 30,  2021","95"
"Jul 1,  2021","173"
"Jul 2,  2021","94"
"Jul 3,  2021","106"
"Jul 4,  2021","107"
"Jul 5,  2021","100"
"Jul 6,  2021","109"
"Jul 7,  2021","99"
"Jul 8,  2021","98"
"Jul 9,  2021","102"
"Jul 10,  2021","92"
"Jul 11,  2021","104"
"Jul 12,  2021","124"
"Jul 13,  2021","112"
"Jul 14,  2021","102"
"Jul 15,  2021","112"
"Jul 16,  2021","97"
"Jul 17,  2021","99"
"Jul 18,  2021","95"
"Jul 19,  2021","78"
"Jul 20,  2021","94"
"Jul 21,  2021","104"
"Jul 22,  2021","96"
"Jul 23,  2021","98"
"Jul 24,  2021","74"
"Jul 25,  2021","65"
"Jul 26,  2021","73"
"Jul 27,  2021","78"
"Jul 28,  2021","82"
"Jul 29,  2021","78"
"Jul 30,  2021","86"
"Jul 31,  2021","86"
"Aug 1,  2021","157"
"Aug 2,  2021","117"
"Aug 3,  2021","98"
"Aug 4,  2021","115"
"Aug 5,  2021","106"
"Aug 6,  2021","105"
"Aug 7,  2021","89"
"Aug 8,  2021","84"
"Aug 9,  2021","97"
"Aug 10,  2021","114"
"Aug 11,  2021","85"
"Aug 12,  2021","78"
"Aug 13,  2021","88"
"Aug 14,  2021","89"
"Aug 15,  2021","97"
"Aug 16,  2021","64"
"Aug 17,  2021","93"
"Aug 18,  2021","86"
"Aug 19,  2021","86"
"Aug 20,  2021","81"
"Aug 21,  2021","74"
"Aug 22,  2021","85"
"Aug 23,  2021","90"
"Aug 24,  2021","83"
"Aug 25,  2021","97"
"Aug 26,  2021","71"
"Aug 27,  2021","78"
"Aug 28,  2021","82"
"Aug 29,  2021","60"
"Aug 30,  2021","74"
"Aug 31,  2021","72"
"Sep 1,  2021","155"
"Sep 2,  2021","116"
"Sep 3,  2021","114"
"Sep 4,  2021","106"
"Sep 5,  2021","107"
"Sep 6,  2021","119"
"Sep 7,  2021","125"
"Sep 8,  2021","88"
"Sep 9,  2021","97"
"Sep 10,  2021","92"
"Sep 11,  2021","96"
"Sep 12,  2021","101"
"Sep 13,  2021","91"
"Sep 14,  2021","111"
"Sep 15,  2021","106"
"Sep 16,  2021","96"
"Sep 17,  2021","112"
"Sep 18,  2021","106"
"Sep 19,  2021","99"
"Sep 20,  2021","101"
"Sep 21,  2021","105"
"Sep 22,  2021","108"
"Sep 23,  2021","95"
"Sep 24,  2021","98"
"Sep 25,  2021","93"
"Sep 26,  2021","100"
"Sep 27,  2021","105"
"Sep 28,  2021","93"
"Sep 29,  2021","99"
"Sep 30,  2021","104"
"Oct 1,  2021","177"
"Oct 2,  2021","111"
"Oct 3,  2021","109"
"Oct 4,  2021","112"
"Oct 5,  2021","111"
"Oct 6,  2021","130"
"Oct 7,  2021","120"
"Oct 8,  2021","119"
"Oct 9,  2021","118"
"Oct 10,  2021","101"
"Oct 11,  2021","116"
"Oct 12,  2021","102"
"Oct 13,  2021","114"
"Oct 14,  2021","93"
"Oct 15,  2021","111"
"Oct 16,  2021","83"
"Oct 17,  2021","92"
"Oct 18,  2021","93"
"Oct 19,  2021","99"
"Oct 20,  2021","112"
"Oct 21,  2021","85"
"Oct 22,  2021","103"
"Oct 23,  2021","89"
"Oct 24,  2021","97"
"Oct 25,  2021","84"
"Oct 26,  2021","94"
"Oct 27,  2021","88"
"Oct 28,  2021","74"
"Oct 29,  2021","83"
"Oct 30,  2021","81"
"Oct 31,  2021","83"
"Nov 1,  2021","151"
"Nov 2,  2021","91"
"Nov 3,  2021","101"
"Nov 4,  2021","86"
"Nov 5,  2021","127"
"Nov 6,  2021","116"
"Nov 7,  2021","121"
"Nov 8,  2021","98"
"Nov 9,  2021","105"
"Nov 10,  2021","101"
"Nov 11,  2021","106"
"Nov 12,  2021","101"
"Nov 13,  2021","102"
"Nov 14,  2021","101"
"Nov 15,  2021","117"
"Nov 16,  2021","121"
"Nov 17,  2021","91"
"Nov 18,  2021","96"
"Nov 19,  2021","107"
"Nov 20,  2021","113"
"Nov 21,  2021","84"
"Nov 22,  2021","104"
"Nov 23,  2021","109"
"Nov 24,  2021","99"
"Nov 25,  2021","82"
"Nov 26,  2021","102"
"Nov 27,  2021","91"
"Nov 28,  2021","84"
"Nov 29,  2021","106"
"Nov 30,  2021","136"
"Dec 1,  2021","147"
"Dec 2,  2021","106"
"Dec 3,  2021","113"
"Dec 4,  2021","102"
"Dec 5,  2021","97"
"Dec 6,  2021","101"
"Dec 7,  2021","120"
"Dec 8,  2021","104"
"Dec 9,  2021","105"
"Dec 10,  2021","98"
"Dec 11,  2021","95"
"Dec 12,  2021","90"
"Dec 13,  2021","116"
"Dec 14,  2021","96"
"Dec 15,  2021","103"
"Dec 16,  2021","83"
"Dec 17,  2021","107"
"Dec 18,  2021","86"
"Dec 19,  2021","83"
"Dec 20,  2021","107"
"Dec 21,  2021","106"
"Dec 22,  2021","102"
"Dec 23,  2021","101"
"Dec 24,  2021","93"
"Dec 25,  2021","70"
"Dec 26,  2021","88"
"Dec 27,  2021","94"
"Dec 28,  2021","88"
"Dec 29,  2021","77"
"Dec 30,  2021","74"
"Dec 31,  2021","96"
"2018","35,344"
"2019","36,759"
"2020","36,846"
"2021","38,234"
"2022","29,686"
